Unnamed: 0,Area,Item,Year,hg/ha_yield,average_rain_fall_mm_per_year,pesticides_tonnes,avg_temp,Coded_item,Encoded_item,Encoded_area
43,Albania,Maize,1999,37455,1485.0,502.86,16.57,0,0,14
44,Albania,Potatoes,1999,142018,1485.0,502.86,16.57,1,1,14
45,Albania,Soybeans,1999,17143,1485.0,502.86,16.57,4,4,14
46,Albania,Wheat,1999,24954,1485.0,502.86,16.57,5,5,14
47,Albania,Maize,2000,38811,1485.0,565.82,16.67,0,0,14
48,Albania,Potatoes,2000,141228,1485.0,565.82,16.67,1,1,14
49,Albania,Soybeans,2000,15000,1485.0,565.82,16.67,4,4,14
50,Albania,Wheat,2000,30455,1485.0,565.82,16.67,5,5,14
51,Albania,Maize,2001,38135,1485.0,628.79,16.59,0,0,14
52,Albania,Potatoes,2001,148818,1485.0,628.79,16.59,1,1,14
53,Albania,Soybeans,2001,20000,1485.0,628.79,16.59,4,4,14
54,Albania,Wheat,2001,28220,1485.0,628.79,16.59,5,5,14
55,Albania,Maize,2002,39460,1485.0,691.75,16.47,0,0,14
56,Albania,Potatoes,2002,153868,1485.0,691.75,16.47,1,1,14
57,Albania,Soybeans,2002,20000,1485.0,691.75,16.47,4,4,14
58,Albania,Wheat,2002,31617,1485.0,691.75,16.47,5,5,14
59,Albania,Maize,2004,46197,1485.0,817.68,16.16,0,0,14
60,Albania,Potatoes,2004,149346,1485.0,817.68,16.16,1,1,14
61,Albania,Soybeans,2004,13333,1485.0,817.68,16.16,4,4,14
62,Albania,Wheat,2004,31130,1485.0,817.68,16.16,5,5,14
63,Albania,Maize,2005,45442,1485.0,880.64,15.67,0,0,14
64,Albania,Potatoes,2005,167061,1485.0,880.64,15.67,1,1,14
65,Albania,Soybeans,2005,17500,1485.0,880.64,15.67,4,4,14
66,Albania,Wheat,2005,31582,1485.0,880.64,15.67,5,5,14
67,Albania,Maize,2006,50111,1485.0,943.61,15.92,0,0,14
68,Albania,Potatoes,2006,170745,1485.0,943.61,15.92,1,1,14
69,Albania,Soybeans,2006,20000,1485.0,943.61,15.92,4,4,14
70,Albania,Wheat,2006,30787,1485.0,943.61,15.92,5,5,14
71,Albania,Maize,2007,46732,1485.0,1006.57,16.67,0,0,14
72,Albania,Potatoes,2007,188902,1485.0,1006.57,16.67,1,1,14
73,Albania,Soybeans,2007,20000,1485.0,1006.57,16.67,4,4,14
74,Albania,Wheat,2007,35496,1485.0,1006.57,16.67,5,5,14
75,Albania,Maize,2008,50000,1485.0,1069.54,16.71,0,0,14
76,Albania,Potatoes,2008,193878,1485.0,1069.54,16.71,1,1,14
77,Albania,Soybeans,2008,20000,1485.0,1069.54,16.71,4,4,14
78,Albania,Wheat,2008,40168,1485.0,1069.54,16.71,5,5,14
79,Albania,Maize,2009,55693,1485.0,1132.5,16.73,0,0,14
80,Albania,Potatoes,2009,219780,1485.0,1132.5,16.73,1,1,14
81,Albania,Soybeans,2009,16667,1485.0,1132.5,16.73,4,4,14
82,Albania,Wheat,2009,40229,1485.0,1132.5,16.73,5,5,14
83,Albania,Maize,2010,66790,1485.0,1311.17,16.52,0,0,14
84,Albania,Potatoes,2010,231111,1485.0,1311.17,16.52,1,1,14
85,Albania,Soybeans,2010,16667,1485.0,1311.17,16.52,4,4,14
86,Albania,Wheat,2010,39905,1485.0,1311.17,16.52,5,5,14
87,Albania,Maize,2011,59869,1485.0,1302.63,16.45,0,0,14
88,Albania,Potatoes,2011,242211,1485.0,1302.63,16.45,1,1,14
89,Albania,Soybeans,2011,18519,1485.0,1302.63,16.45,4,4,14
90,Albania,Wheat,2011,42301,1485.0,1302.63,16.45,5,5,14
91,Albania,Maize,2012,67290,1485.0,766.25,16.7,0,0,14
92,Albania,Potatoes,2012,250538,1485.0,766.25,16.7,1,1,14
93,Albania,Soybeans,2012,13333,1485.0,766.25,16.7,4,4,14
94,Albania,Wheat,2012,41096,1485.0,766.25,16.7,5,5,14
95,Albania,Maize,2013,69533,1485.0,982.32,17.41,0,0,14
96,Albania,Potatoes,2013,260110,1485.0,982.32,17.41,1,1,14
97,Albania,Soybeans,2013,10000,1485.0,982.32,17.41,4,4,14
98,Albania,Wheat,2013,41292,1485.0,982.32,17.41,5,5,14
99,Algeria,Maize,1990,16500,89.0,1828.92,17.48,0,0,76
100,Algeria,Potatoes,1990,78936,89.0,1828.92,17.48,1,1,76
101,Algeria,"Rice, paddy",1990,28000,89.0,1828.92,17.48,2,2,76
102,Algeria,Sorghum,1990,16571,89.0,1828.92,17.48,3,3,76
103,Algeria,Wheat,1990,6315,89.0,1828.92,17.48,5,5,76
104,Algeria,Maize,1991,19231,89.0,2461.8,16.26,0,0,76
105,Algeria,Potatoes,1991,90747,89.0,2461.8,16.26,1,1,76
106,Algeria,"Rice, paddy",1991,26786,89.0,2461.8,16.26,2,2,76
107,Algeria,Sorghum,1991,24231,89.0,2461.8,16.26,3,3,76
108,Algeria,Wheat,1991,10809,89.0,2461.8,16.26,5,5,76
109,Algeria,Maize,1992,22828,89.0,1215.47,16.27,0,0,76
110,Algeria,Potatoes,1992,107917,89.0,1215.47,16.27,1,1,76
111,Algeria,"Rice, paddy",1992,24733,89.0,1215.47,16.27,2,2,76
112,Algeria,Sorghum,1992,40000,89.0,1215.47,16.27,3,3,76
113,Algeria,Wheat,1992,9939,89.0,1215.47,16.27,5,5,76
114,Algeria,Maize,1993,12500,89.0,1021.89,17.0,0,0,76
115,Algeria,Potatoes,1993,111215,89.0,1021.89,17.0,1,1,76
116,Algeria,"Rice, paddy",1993,23111,89.0,1021.89,17.0,2,2,76
117,Algeria,Sorghum,1993,50000,89.0,1021.89,17.0,3,3,76
118,Algeria,Wheat,1993,8097,89.0,1021.89,17.0,5,5,76
119,Algeria,Maize,1994,4512,89.0,1255.02,17.88,0,0,76
120,Algeria,Potatoes,1994,95078,89.0,1255.02,17.88,1,1,76
121,Algeria,"Rice, paddy",1994,21374,89.0,1255.02,17.88,2,2,76
122,Algeria,Wheat,1994,7999,89.0,1255.02,17.88,5,5,76
123,Algeria,Maize,1995,16115,89.0,2697.09,17.36,0,0,76
124,Algeria,Potatoes,1995,136768,89.0,2697.09,17.36,1,1,76
125,Algeria,"Rice, paddy",1995,19598,89.0,2697.09,17.36,2,2,76
126,Algeria,Sorghum,1995,12667,89.0,2697.09,17.36,3,3,76
127,Algeria,Wheat,1995,8924,89.0,2697.09,17.36,5,5,76
128,Algeria,Maize,1996,17154,89.0,479.77,16.76,0,0,76
129,Algeria,Potatoes,1996,134629,89.0,479.77,16.76,1,1,76
130,Algeria,"Rice, paddy",1996,17861,89.0,479.77,16.76,2,2,76
131,Algeria,Sorghum,1996,14750,89.0,479.77,16.76,3,3,76
132,Algeria,Wheat,1996,13090,89.0,479.77,16.76,5,5,76
133,Algeria,Maize,1997,21417,89.0,401.22,17.84,0,0,76
134,Algeria,Potatoes,1997,141042,89.0,401.22,17.84,1,1,76
135,Algeria,"Rice, paddy",1997,15000,89.0,401.22,17.84,2,2,76
136,Algeria,Sorghum,1997,40000,89.0,401.22,17.84,3,3,76
137,Algeria,Wheat,1997,8016,89.0,401.22,17.84,5,5,76
138,Algeria,Maize,1998,17222,89.0,322.84,17.14,0,0,76
139,Algeria,Potatoes,1998,160256,89.0,322.84,17.14,1,1,76
140,Algeria,"Rice, paddy",1998,15000,89.0,322.84,17.14,2,2,76
141,Algeria,Sorghum,1998,24500,89.0,322.84,17.14,3,3,76
142,Algeria,Wheat,1998,8847,89.0,322.84,17.14,5,5,76
143,Algeria,Maize,1999,22375,89.0,654.45,17.97,0,0,76
144,Algeria,Potatoes,1999,153532,89.0,654.45,17.97,1,1,76
145,Algeria,"Rice, paddy",1999,13942,89.0,654.45,17.97,2,2,76
146,Algeria,Sorghum,1999,27000,89.0,654.45,17.97,3,3,76
147,Algeria,Wheat,1999,10711,89.0,654.45,17.97,5,5,76
148,Algeria,Maize,2000,36186,89.0,603.67,17.9,0,0,76
149,Algeria,Potatoes,2000,166143,89.0,603.67,17.9,1,1,76
150,Algeria,"Rice, paddy",2000,13052,89.0,603.67,17.9,2,2,76
151,Algeria,Sorghum,2000,69500,89.0,603.67,17.9,3,3,76
152,Algeria,Wheat,2000,9194,89.0,603.67,17.9,5,5,76
153,Algeria,Maize,2001,27175,89.0,710.11,18.13,0,0,76
154,Algeria,Potatoes,2001,147018,89.0,710.11,18.13,1,1,76
155,Algeria,"Rice, paddy",2001,12314,89.0,710.11,18.13,2,2,76
156,Algeria,Sorghum,2001,27750,89.0,710.11,18.13,3,3,76
157,Algeria,Wheat,2001,11104,89.0,710.11,18.13,5,5,76
158,Algeria,Maize,2002,33480,89.0,816.55,17.85,0,0,76
159,Algeria,Potatoes,2002,183774,89.0,816.55,17.85,1,1,76
160,Algeria,"Rice, paddy",2002,12959,89.0,816.55,17.85,2,2,76
161,Algeria,Sorghum,2002,33900,89.0,816.55,17.85,3,3,76
162,Algeria,Wheat,2002,10739,89.0,816.55,17.85,5,5,76
163,Algeria,Maize,2004,31729,89.0,3747.86,17.38,0,0,76
164,Algeria,Potatoes,2004,203585,89.0,3747.86,17.38,1,1,76
165,Algeria,"Rice, paddy",2004,12829,89.0,3747.86,17.38,2,2,76
166,Algeria,Sorghum,2004,43316,89.0,3747.86,17.38,3,3,76
167,Algeria,Wheat,2004,13582,89.0,3747.86,17.38,5,5,76
168,Algeria,Maize,2005,33864,89.0,3662.87,17.19,0,0,76
169,Algeria,Potatoes,2005,216267,89.0,3662.87,17.19,1,1,76
170,Algeria,"Rice, paddy",2005,12998,89.0,3662.87,17.19,2,2,76
171,Algeria,Sorghum,2005,33486,89.0,3662.87,17.19,3,3,76
172,Algeria,Wheat,2005,15057,89.0,3662.87,17.19,5,5,76
173,Algeria,Maize,2006,65668,89.0,4110.72,18.13,0,0,76
174,Algeria,Potatoes,2006,220689,89.0,4110.72,18.13,1,1,76
175,Algeria,"Rice, paddy",2006,12769,89.0,4110.72,18.13,2,2,76
176,Algeria,Sorghum,2006,56728,89.0,4110.72,18.13,3,3,76
177,Algeria,Wheat,2006,15068,89.0,4110.72,18.13,5,5,76
178,Algeria,Maize,2007,85625,89.0,5390.79,17.42,0,0,76
179,Algeria,Potatoes,2007,189927,89.0,5390.79,17.42,1,1,76
180,Algeria,"Rice, paddy",2007,13375,89.0,5390.79,17.42,2,2,76
181,Algeria,Sorghum,2007,119059,89.0,5390.79,17.42,3,3,76
182,Algeria,Wheat,2007,12742,89.0,5390.79,17.42,5,5,76
183,Algeria,Maize,2008,44714,89.0,11556.12,17.55,0,0,76
184,Algeria,Potatoes,2008,236393,89.0,11556.12,17.55,1,1,76
185,Algeria,"Rice, paddy",2008,13952,89.0,11556.12,17.55,2,2,76
186,Algeria,Sorghum,2008,61786,89.0,11556.12,17.55,3,3,76
187,Algeria,Wheat,2008,11038,89.0,11556.12,17.55,5,5,76
188,Algeria,Maize,2009,30914,89.0,3867.99,17.78,0,0,76
189,Algeria,Potatoes,2009,250764,89.0,3867.99,17.78,1,1,76
190,Algeria,"Rice, paddy",2009,14594,89.0,3867.99,17.78,2,2,76
191,Algeria,Sorghum,2009,90465,89.0,3867.99,17.78,3,3,76
192,Algeria,Wheat,2009,15975,89.0,3867.99,17.78,5,5,76
193,Algeria,Maize,2010,25827,89.0,1295.88,17.59,0,0,76
194,Algeria,Potatoes,2010,270526,89.0,1295.88,17.59,1,1,76
195,Algeria,"Rice, paddy",2010,15305,89.0,1295.88,17.59,2,2,76
196,Algeria,Sorghum,2010,30286,89.0,1295.88,17.59,3,3,76
197,Algeria,Wheat,2010,14838,89.0,1295.88,17.59,5,5,76
198,Algeria,Maize,2011,23374,89.0,13861.76,17.79,0,0,76
199,Algeria,Potatoes,2011,292806,89.0,13861.76,17.79,1,1,76
200,Algeria,"Rice, paddy",2011,16081,89.0,13861.76,17.79,2,2,76
201,Algeria,Sorghum,2011,100000,89.0,13861.76,17.79,3,3,76
202,Algeria,Wheat,2011,17405,89.0,13861.76,17.79,5,5,76
203,Algeria,Maize,2012,25583,89.0,17379.76,17.91,0,0,76
204,Algeria,Potatoes,2012,304291,89.0,17379.76,17.91,1,1,76
205,Algeria,"Rice, paddy",2012,16667,89.0,17379.76,17.91,2,2,76
206,Algeria,Sorghum,2012,206000,89.0,17379.76,17.91,3,3,76
207,Algeria,Wheat,2012,17639,89.0,17379.76,17.91,5,5,76
208,Algeria,Maize,2013,33649,89.0,17278.65,17.65,0,0,76
209,Algeria,Potatoes,2013,303218,89.0,17278.65,17.65,1,1,76
210,Algeria,"Rice, paddy",2013,17778,89.0,17278.65,17.65,2,2,76
211,Algeria,Sorghum,2013,60000,89.0,17278.65,17.65,3,3,76
212,Algeria,Wheat,2013,19100,89.0,17278.65,17.65,5,5,76
213,Angola,Cassava,1990,41177,1010.0,64.0,24.12,6,6,53
214,Angola,Maize,1990,2736,1010.0,64.0,24.12,0,0,53
215,Angola,Potatoes,1990,40000,1010.0,64.0,24.12,1,1,53
216,Angola,"Rice, paddy",1990,9512,1010.0,64.0,24.12,2,2,53
217,Angola,Sweet potatoes,1990,89342,1010.0,64.0,24.12,7,7,53
218,Angola,Wheat,1990,7995,1010.0,64.0,24.12,5,5,53
219,Angola,Cassava,1991,40295,1010.0,79.0,24.02,6,6,53
220,Angola,Maize,1991,4013,1010.0,79.0,24.02,0,0,53
221,Angola,Potatoes,1991,40000,1010.0,79.0,24.02,1,1,53
222,Angola,"Rice, paddy",1991,10000,1010.0,79.0,24.02,2,2,53
223,Angola,Sweet potatoes,1991,83001,1010.0,79.0,24.02,7,7,53
224,Angola,Wheat,1991,8000,1010.0,79.0,24.02,5,5,53
225,Angola,Cassava,1992,42295,1010.0,23.0,23.96,6,6,53
226,Angola,Maize,1992,3778,1010.0,23.0,23.96,0,0,53
227,Angola,Potatoes,1992,40000,1010.0,23.0,23.96,1,1,53
228,Angola,"Rice, paddy",1992,9106,1010.0,23.0,23.96,2,2,53
229,Angola,Sweet potatoes,1992,90000,1010.0,23.0,23.96,7,7,53
230,Angola,Wheat,1992,8000,1010.0,23.0,23.96,5,5,53
231,Angola,Cassava,1993,42295,1010.0,169.0,24.15,6,6,53
232,Angola,Maize,1993,2627,1010.0,169.0,24.15,0,0,53
233,Angola,Potatoes,1993,70000,1010.0,169.0,24.15,1,1,53
234,Angola,"Rice, paddy",1993,8000,1010.0,169.0,24.15,2,2,53
235,Angola,Sweet potatoes,1993,88095,1010.0,169.0,24.15,7,7,53
236,Angola,Wheat,1993,8876,1010.0,169.0,24.15,5,5,53
237,Angola,Cassava,1994,58596,1010.0,25.5,24.04,6,6,53
238,Angola,Maize,1994,2463,1010.0,25.5,24.04,0,0,53
239,Angola,Potatoes,1994,90000,1010.0,25.5,24.04,1,1,53
240,Angola,"Rice, paddy",1994,8750,1010.0,25.5,24.04,2,2,53
241,Angola,Sweet potatoes,1994,83192,1010.0,25.5,24.04,7,7,53
242,Angola,Wheat,1994,10000,1010.0,25.5,24.04,5,5,53
243,Angola,Cassava,1995,51000,1010.0,336.0,24.56,6,6,53
244,Angola,Maize,1995,3517,1010.0,336.0,24.56,0,0,53
245,Angola,Potatoes,1995,76738,1010.0,336.0,24.56,1,1,53
246,Angola,"Rice, paddy",1995,14615,1010.0,336.0,24.56,2,2,53
247,Angola,Sweet potatoes,1995,81138,1010.0,336.0,24.56,7,7,53
248,Angola,Wheat,1995,11855,1010.0,336.0,24.56,5,5,53
249,Angola,Cassava,1996,48077,1010.0,40.0,24.11,6,6,53
250,Angola,Maize,1996,6993,1010.0,40.0,24.11,0,0,53
251,Angola,Potatoes,1996,70000,1010.0,40.0,24.11,1,1,53
252,Angola,"Rice, paddy",1996,17500,1010.0,40.0,24.11,2,2,53
253,Angola,Sweet potatoes,1996,85455,1010.0,40.0,24.11,7,7,53
254,Angola,Wheat,1996,13738,1010.0,40.0,24.11,5,5,53
255,Angola,Cassava,1997,44205,1010.0,40.0,24.06,6,6,53
256,Angola,Maize,1997,5959,1010.0,40.0,24.06,0,0,53
257,Angola,Potatoes,1997,68571,1010.0,40.0,24.06,1,1,53
258,Angola,"Rice, paddy",1997,20000,1010.0,40.0,24.06,2,2,53
259,Angola,Sweet potatoes,1997,78098,1010.0,40.0,24.06,7,7,53
260,Angola,Wheat,1997,15509,1010.0,40.0,24.06,5,5,53
261,Angola,Cassava,1998,55728,1010.0,40.0,24.96,6,6,53
262,Angola,Maize,1998,7396,1010.0,40.0,24.96,0,0,53
263,Angola,Potatoes,1998,62724,1010.0,40.0,24.96,1,1,53
264,Angola,"Rice, paddy",1998,20000,1010.0,40.0,24.96,2,2,53
265,Angola,Sweet potatoes,1998,76256,1010.0,40.0,24.96,7,7,53
266,Angola,Wheat,1998,17143,1010.0,40.0,24.96,5,5,53
267,Angola,Cassava,1999,59821,1010.0,40.0,24.37,6,6,53
268,Angola,Maize,1999,6361,1010.0,40.0,24.37,0,0,53
269,Angola,Potatoes,1999,54597,1010.0,40.0,24.37,1,1,53
270,Angola,"Rice, paddy",1999,14235,1010.0,40.0,24.37,2,2,53
271,Angola,Sweet potatoes,1999,82865,1010.0,40.0,24.37,7,7,53
272,Angola,Wheat,1999,17391,1010.0,40.0,24.37,5,5,53
273,Angola,Cassava,2000,82992,1010.0,40.0,24.41,6,6,53
274,Angola,Maize,2000,5745,1010.0,40.0,24.41,0,0,53
275,Angola,Potatoes,2000,29885,1010.0,40.0,24.41,1,1,53
276,Angola,"Rice, paddy",2000,13454,1010.0,40.0,24.41,2,2,53
277,Angola,Sorghum,2000,3333,1010.0,40.0,24.41,3,3,53
278,Angola,Soybeans,2000,2333,1010.0,40.0,24.41,4,4,53
279,Angola,Sweet potatoes,2000,34938,1010.0,40.0,24.41,7,7,53
280,Angola,Wheat,2000,17023,1010.0,40.0,24.41,5,5,53
281,Angola,Cassava,2001,94072,1010.0,40.0,24.43,6,6,53
282,Angola,Maize,2001,5754,1010.0,40.0,24.43,0,0,53
283,Angola,Potatoes,2001,42552,1010.0,40.0,24.43,1,1,53
284,Angola,"Rice, paddy",2001,13701,1010.0,40.0,24.43,2,2,53
285,Angola,Sorghum,2001,3571,1010.0,40.0,24.43,3,3,53
286,Angola,Soybeans,2001,2500,1010.0,40.0,24.43,4,4,53
287,Angola,Sweet potatoes,2001,44458,1010.0,40.0,24.43,7,7,53
288,Angola,Wheat,2001,16667,1010.0,40.0,24.43,5,5,53
289,Angola,Cassava,2002,110071,1010.0,40.0,24.79,6,6,53
290,Angola,Maize,2002,6706,1010.0,40.0,24.79,0,0,53
291,Angola,Potatoes,2002,42754,1010.0,40.0,24.79,1,1,53
292,Angola,"Rice, paddy",2002,13198,1010.0,40.0,24.79,2,2,53
293,Angola,Sorghum,2002,3400,1010.0,40.0,24.79,3,3,53
294,Angola,Soybeans,2002,2857,1010.0,40.0,24.79,4,4,53
295,Angola,Sweet potatoes,2002,42190,1010.0,40.0,24.79,7,7,53
296,Angola,Wheat,2002,15455,1010.0,40.0,24.79,5,5,53
297,Angola,Cassava,2004,125605,1010.0,40.0,24.22,6,6,53
298,Angola,Maize,2004,5404,1010.0,40.0,24.22,0,0,53
299,Angola,Potatoes,2004,20150,1010.0,40.0,24.22,1,1,53
300,Angola,"Rice, paddy",2004,11584,1010.0,40.0,24.22,2,2,53
301,Angola,Sorghum,2004,3333,1010.0,40.0,24.22,3,3,53
302,Angola,Soybeans,2004,3600,1010.0,40.0,24.22,4,4,53
303,Angola,Sweet potatoes,2004,45360,1010.0,40.0,24.22,7,7,53
304,Angola,Wheat,2004,12442,1010.0,40.0,24.22,5,5,53
305,Angola,Cassava,2005,117628,1010.0,40.0,24.41,6,6,53
306,Angola,Maize,2005,6736,1010.0,40.0,24.41,0,0,53
307,Angola,Potatoes,2005,23646,1010.0,40.0,24.41,1,1,53
308,Angola,"Rice, paddy",2005,6977,1010.0,40.0,24.41,2,2,53
309,Angola,Sorghum,2005,3333,1010.0,40.0,24.41,3,3,53
310,Angola,Soybeans,2005,3793,1010.0,40.0,24.41,4,4,53
311,Angola,Sweet potatoes,2005,46159,1010.0,40.0,24.41,7,7,53
312,Angola,Wheat,2005,10946,1010.0,40.0,24.41,5,5,53
313,Angola,Cassava,2006,117201,1010.0,40.0,24.14,6,6,53
314,Angola,Maize,2006,4687,1010.0,40.0,24.14,0,0,53
315,Angola,Potatoes,2006,52148,1010.0,40.0,24.14,1,1,53
316,Angola,"Rice, paddy",2006,4947,1010.0,40.0,24.14,2,2,53
317,Angola,Sorghum,2006,4091,1010.0,40.0,24.14,3,3,53
318,Angola,Soybeans,2006,4286,1010.0,40.0,24.14,4,4,53
319,Angola,Sweet potatoes,2006,44240,1010.0,40.0,24.14,7,7,53
320,Angola,Wheat,2006,10000,1010.0,40.0,24.14,5,5,53
321,Angola,Cassava,2007,115387,1010.0,40.0,24.24,6,6,53
322,Angola,Maize,2007,5091,1010.0,40.0,24.24,0,0,53
323,Angola,Potatoes,2007,62138,1010.0,40.0,24.24,1,1,53
324,Angola,"Rice, paddy",2007,5143,1010.0,40.0,24.24,2,2,53
325,Angola,Sorghum,2007,4031,1010.0,40.0,24.24,3,3,53
326,Angola,Soybeans,2007,6883,1010.0,40.0,24.24,4,4,53
327,Angola,Sweet potatoes,2007,58855,1010.0,40.0,24.24,7,7,53
328,Angola,Wheat,2007,10000,1010.0,40.0,24.24,5,5,53
329,Angola,Cassava,2008,148084,1010.0,40.0,24.27,6,6,53
330,Angola,Maize,2008,7946,1010.0,40.0,24.27,0,0,53
331,Angola,Potatoes,2008,85085,1010.0,40.0,24.27,1,1,53
332,Angola,"Rice, paddy",2008,5084,1010.0,40.0,24.27,2,2,53
333,Angola,Sorghum,2008,929,1010.0,40.0,24.27,3,3,53
334,Angola,Soybeans,2008,8575,1010.0,40.0,24.27,4,4,53
335,Angola,Sweet potatoes,2008,65437,1010.0,40.0,24.27,7,7,53
336,Angola,Wheat,2008,10000,1010.0,40.0,24.27,5,5,53
337,Angola,Cassava,2009,151759,1010.0,40.0,24.33,6,6,53
338,Angola,Maize,2009,6614,1010.0,40.0,24.33,0,0,53
339,Angola,Potatoes,2009,86509,1010.0,40.0,24.33,1,1,53
340,Angola,"Rice, paddy",2009,6028,1010.0,40.0,24.33,2,2,53
341,Angola,Sorghum,2009,2480,1010.0,40.0,24.33,3,3,53
342,Angola,Soybeans,2009,4449,1010.0,40.0,24.33,4,4,53
343,Angola,Sweet potatoes,2009,66475,1010.0,40.0,24.33,7,7,53
344,Angola,Wheat,2009,10000,1010.0,40.0,24.33,5,5,53
345,Angola,Cassava,2010,155782,1010.0,40.0,24.44,6,6,53
346,Angola,Maize,2010,7200,1010.0,40.0,24.44,0,0,53
347,Angola,Potatoes,2010,87425,1010.0,40.0,24.44,1,1,53
348,Angola,"Rice, paddy",2010,7403,1010.0,40.0,24.44,2,2,53
349,Angola,Sorghum,2010,2814,1010.0,40.0,24.44,3,3,53
350,Angola,Soybeans,2010,4446,1010.0,40.0,24.44,4,4,53
351,Angola,Sweet potatoes,2010,63001,1010.0,40.0,24.44,7,7,53
352,Angola,Wheat,2010,10526,1010.0,40.0,24.44,5,5,53
353,Angola,Cassava,2011,133649,1010.0,40.0,24.15,6,6,53
354,Angola,Maize,2011,7376,1010.0,40.0,24.15,0,0,53
355,Angola,Potatoes,2011,81366,1010.0,40.0,24.15,1,1,53
356,Angola,"Rice, paddy",2011,8914,1010.0,40.0,24.15,2,2,53
357,Angola,Sorghum,2011,3320,1010.0,40.0,24.15,3,3,53
358,Angola,Soybeans,2011,5294,1010.0,40.0,24.15,4,4,53
359,Angola,Sweet potatoes,2011,65512,1010.0,40.0,24.15,7,7,53
360,Angola,Wheat,2011,10959,1010.0,40.0,24.15,5,5,53
361,Angola,Cassava,2012,100073,1010.0,40.0,24.24,6,6,53
362,Angola,Maize,2012,7770,1010.0,40.0,24.24,0,0,53
363,Angola,Potatoes,2012,69381,1010.0,40.0,24.24,1,1,53
364,Angola,"Rice, paddy",2012,7703,1010.0,40.0,24.24,2,2,53
365,Angola,Sorghum,2012,998,1010.0,40.0,24.24,3,3,53
366,Angola,Soybeans,2012,1641,1010.0,40.0,24.24,4,4,53
367,Angola,Sweet potatoes,2012,52954,1010.0,40.0,24.24,7,7,53
368,Angola,Wheat,2012,11258,1010.0,40.0,24.24,5,5,53
369,Angola,Cassava,2013,140517,1010.0,40.0,24.55,6,6,53
370,Angola,Maize,2013,9467,1010.0,40.0,24.55,0,0,53
